Freq.	V(n001)
0.00000000000000e+00	1.11596802796362e-02,0.00000000000000e+00
5.00000000000000e+06	1.58061741482879e-02,2.75987119425354e-05
1.00000000000000e+07	1.59163645419383e-02,5.21703038034815e-05
1.50000000000000e+07	1.61030921906941e-02,7.03878242323434e-05
2.00000000000000e+07	1.63711952203230e-02,7.83196471083590e-05
2.50000000000000e+07	1.67277699314810e-02,7.10149935548039e-05
3.00000000000000e+07	1.71826238046525e-02,4.19192867282953e-05
3.50000000000000e+07	1.77488858248154e-02,-1.80163459526699e-05
4.00000000000000e+07	1.84434826606875e-02,-1.20940076645766e-04
4.50000000000000e+07	1.92869390498738e-02,-2.81369670760599e-04
5.00000000000000e+07	2.03166480614861e-02,-5.46204615061063e-04
5.50000000000000e+07	2.15565212527760e-02,-9.28170889764367e-04
6.00000000000000e+07	2.30578564977321e-02,-1.50401443588602e-03
6.50000000000000e+07	2.48734745240563e-02,-2.37137511640825e-03
7.00000000000000e+07	2.70586846064697e-02,-3.68930630933603e-03
7.50000000000000e+07	2.96489652921837e-02,-5.71712341535244e-03
8.00000000000000e+07	3.25946911264453e-02,-8.87471033131094e-03
8.50000000000000e+07	3.55893426277001e-02,-1.38027755110751e-02
9.00000000000000e+07	3.76804460972197e-02,-2.12863224453935e-02
9.50000000000000e+07	3.67728721954281e-02,-3.16174254687679e-02
1.00000000000000e+08	2.98476193297074e-02,-4.26090276729293e-02
1.05000000000000e+08	1.68646064647681e-02,-4.90007820635437e-02
1.10000000000000e+08	3.18916850872770e-03,-4.74985484817723e-02
1.15000000000000e+08	-6.13430450214455e-03,-4.09521283741045e-02
1.20000000000000e+08	-1.07593833673545e-02,-3.35601920314888e-02
1.25000000000000e+08	-1.24227581633367e-02,-2.72667520975500e-02
1.30000000000000e+08	-1.25922054659823e-02,-2.23850570953290e-02
1.35000000000000e+08	-1.20960569339444e-02,-1.86883126116449e-02
1.40000000000000e+08	-3.85327450222333e-01,6.66078742600391e-01
1.45000000000000e+08	-1.05224586667849e-02,-1.37170044292880e-02
1.50000000000000e+08	-9.72017143912453e-03,-1.20230542689878e-02
1.55000000000000e+08	-8.97101152673782e-03,-1.06734883520091e-02
1.60000000000000e+08	-8.28685105814132e-03,-9.58076358843621e-03
1.65000000000000e+08	-7.66904205961064e-03,-8.68244713578660e-03
1.70000000000000e+08	-7.11405119932137e-03,-7.93316214348180e-03
1.75000000000000e+08	-6.61556552097830e-03,-7.29903450933898e-03
1.80000000000000e+08	-6.16466957704185e-03,-6.75573699818475e-03
1.85000000000000e+08	-5.73947942673623e-03,-6.28909228609727e-03
1.90000000000000e+08	-5.40969669578405e-03,-5.87363270665231e-03
1.95000000000000e+08	-5.06755328869881e-03,-5.51741795975255e-03
2.00000000000000e+08	-4.76173156085701e-03,-5.20251122291847e-03
2.05000000000000e+08	-4.48407639828267e-03,-4.92270772401870e-03
2.10000000000000e+08	-4.23085519329904e-03,-4.67257125528994e-03
2.15000000000000e+08	-3.99918476961298e-03,-4.44771016418396e-03
2.20000000000000e+08	-3.78653614801307e-03,-4.24458174260000e-03
2.25000000000000e+08	-3.59086139256243e-03,-4.06054946474953e-03
2.30000000000000e+08	-3.41008746293705e-03,-3.89443069036891e-03
2.35000000000000e+08	-3.24556767760967e-03,-3.72938933995853e-03
2.40000000000000e+08	-3.09016017133740e-03,-3.59332236601652e-03
2.45000000000000e+08	-2.94676623547593e-03,-3.46363890131702e-03
2.50000000000000e+08	-2.81375842245439e-03,-3.34317333638384e-03
2.55000000000000e+08	-2.68980407036099e-03,-3.23129874991328e-03
2.60000000000000e+08	-2.57415440507538e-03,-3.12709910077875e-03
2.65000000000000e+08	-2.46608227687895e-03,-3.02985087237166e-03
2.70000000000000e+08	-2.36489708194092e-03,-2.93888198967383e-03
2.75000000000000e+08	-2.27003882622542e-03,-2.85355951632612e-03
2.80000000000000e+08	-2.20122454918154e-03,-2.77470932791889e-03
2.85000000000000e+08	-2.09715050534289e-03,-2.69786867993999e-03
2.90000000000000e+08	-2.01816610493617e-03,-2.62666410218634e-03
2.95000000000000e+08	-1.94364455569163e-03,-2.55940790665694e-03
3.00000000000000e+08	-1.87325173436758e-03,-2.49586506878713e-03
3.05000000000000e+08	-1.80666753091419e-03,-2.43570581186877e-03
3.10000000000000e+08	-1.74362450515556e-03,-2.37871920226208e-03
3.15000000000000e+08	-1.68383988006802e-03,-2.32479492342481e-03
3.20000000000000e+08	-1.62653311641361e-03,-2.27371387454018e-03
3.25000000000000e+08	-1.56590207677977e-03,-2.22799412294392e-03
3.30000000000000e+08	-1.53037600631280e-03,-2.17453594420045e-03
3.35000000000000e+08	-1.47979881748295e-03,-2.13116311898063e-03
3.40000000000000e+08	-1.43406156673806e-03,-2.08860858731169e-03
3.45000000000000e+08	-1.39107085735609e-03,-2.04752310938733e-03
3.50000000000000e+08	-1.35051493719596e-03,-2.00793929175119e-03
3.55000000000000e+08	-1.31226969255114e-03,-1.96982506616399e-03
3.60000000000000e+08	-1.27654568162693e-03,-1.93312804430609e-03
3.65000000000000e+08	-1.24413771413231e-03,-1.89798044352699e-03
3.70000000000000e+08	-1.22094875033501e-03,-1.86685914140916e-03
3.75000000000000e+08	-1.13801903602172e-03,-1.80656643396570e-03
3.80000000000000e+08	-1.13041505112805e-03,-1.78281383924579e-03
3.85000000000000e+08	-1.09989014829861e-03,-1.75051967898249e-03
3.90000000000000e+08	-1.06720991134851e-03,-1.72080392484168e-03
3.95000000000000e+08	-1.03592772718568e-03,-1.69400328531495e-03
4.00000000000000e+08	-1.00701841479230e-03,-1.66886178436235e-03
4.05000000000000e+08	-9.80243555424585e-04,-1.64444011239050e-03
4.10000000000000e+08	-9.55124876114269e-04,-1.62036527490146e-03
4.15000000000000e+08	-9.31188822834545e-04,-1.59653770365870e-03
4.20000000000000e+08	-8.08157405380285e-04,-2.37824753659885e-03
4.25000000000000e+08	-8.86033974897911e-04,-1.54996259084673e-03
4.30000000000000e+08	-8.64609866698059e-04,-1.52720511472680e-03
4.35000000000000e+08	-8.43760398612291e-04,-1.50468905827656e-03
4.40000000000000e+08	-8.23139562292607e-04,-1.48237852703924e-03
4.45000000000000e+08	-8.02343454386595e-04,-1.46046688017810e-03
4.50000000000000e+08	-7.81033799371785e-04,-1.43959590881257e-03
4.55000000000000e+08	-7.59675515883218e-04,-1.42083451894816e-03
4.60000000000000e+08	-7.40383806305715e-04,-1.40428757772881e-03
4.65000000000000e+08	-7.30487573978606e-04,-1.38440588507918e-03
4.70000000000000e+08	-6.99143878053282e-04,-1.38073700884858e-03
4.75000000000000e+08	-6.87907374342874e-04,-1.36336187060810e-03
4.80000000000000e+08	-6.74866463837810e-04,-1.34724728669431e-03
4.85000000000000e+08	-6.61736597745191e-04,-1.33136321649862e-03
