time	I(C1)
0.000000000000000e+00	0.000000e+00
4.571428553162046e-12	2.268734e-07
9.142857106324091e-12	7.868536e-07
1.371428565948614e-11	1.679941e-06
1.828571421264818e-11	2.906135e-06
2.285714276581023e-11	4.465436e-06
2.742857131897227e-11	6.357844e-06
3.199999987213431e-11	8.583359e-06
6.399999974426862e-11	3.133611e-05
1.076165421430570e-10	8.197905e-05
1.593706021663316e-10	1.701821e-04
2.068640169103362e-10	2.820355e-04
2.772705173821745e-10	5.012512e-04
3.620478987873284e-10	8.441751e-04
4.841239538257550e-10	1.481203e-03
6.388398313636230e-10	2.502453e-03
8.341523313636230e-10	4.077281e-03
1.029464831363623e-09	5.914130e-03
1.224777331363623e-09	7.959042e-03
1.420089831363623e-09	1.013265e-02
1.615402331363623e-09	1.235163e-02
1.810714831363623e-09	1.453082e-02
2.006027331363623e-09	1.658539e-02
2.201339831363623e-09	1.843302e-02
2.396652331363622e-09	1.999586e-02
2.591964831363622e-09	2.120253e-02
2.787277331363622e-09	2.198984e-02
2.982589831363622e-09	2.230435e-02
3.177902331363622e-09	2.210374e-02
3.373214831363621e-09	2.135784e-02
3.568527331363621e-09	2.004949e-02
3.763839831363621e-09	1.817504e-02
3.959152331363621e-09	1.574457e-02
4.154464831363620e-09	1.278182e-02
4.349777331363620e-09	9.323851e-03
4.545089831363620e-09	5.420363e-03
4.740402331363620e-09	1.132782e-03
4.935714831363620e-09	-3.466905e-03
5.131027331363619e-09	-8.297553e-03
5.326339831363619e-09	-1.327046e-02
5.521652331363619e-09	-1.829110e-02
5.716964831363619e-09	-2.326107e-02
5.912277331363618e-09	-2.808000e-02
6.107589831363618e-09	-3.264763e-02
6.302902331363618e-09	-3.686584e-02
6.498214831363618e-09	-4.064069e-02
6.693527331363618e-09	-4.388431e-02
6.888839831363617e-09	-4.651685e-02
7.084152331363617e-09	-4.846808e-02
7.279464831363617e-09	-4.970931e-02
7.445312038091745e-09	-5.013170e-02
7.629666736545626e-09	-4.986966e-02
7.824979236545626e-09	-4.879808e-02
8.020291736545626e-09	-4.689612e-02
8.215604236545625e-09	-4.416099e-02
8.410916736545625e-09	-4.061692e-02
8.606229236545625e-09	-3.630334e-02
8.801541736545625e-09	-3.127437e-02
8.996854236545625e-09	-2.559809e-02
9.192166736545624e-09	-1.935544e-02
9.387479236545624e-09	-1.263904e-02
9.582791736545624e-09	-5.551590e-03
9.778104236545624e-09	1.795737e-03
9.973416736545623e-09	9.285210e-03
1.016872923654562e-08	1.679452e-02
1.036404173654562e-08	2.419886e-02
1.055935423654562e-08	3.137313e-02
1.075466673654562e-08	3.819405e-02
1.094997923654562e-08	4.454237e-02
1.114529173654562e-08	5.030500e-02
1.134060423654562e-08	5.537700e-02
1.153591673654562e-08	5.966349e-02
1.173122923654562e-08	6.308138e-02
1.192654173654562e-08	6.556098e-02
1.212185423654562e-08	6.704724e-02
1.231716673654562e-08	6.755187e-02
1.247500759177289e-08	6.718057e-02
1.264071013962141e-08	6.596684e-02
1.283602263962141e-08	6.357259e-02
1.303133513962141e-08	6.018719e-02
1.322664763962141e-08	5.581097e-02
1.342196013962141e-08	5.050126e-02
1.361727263962141e-08	4.433129e-02
1.381258513962141e-08	3.738909e-02
1.400789763962141e-08	2.977625e-02
1.420321013962141e-08	2.160629e-02
1.439852263962141e-08	1.300291e-02
1.459383513962141e-08	4.098050e-03
1.478914763962141e-08	-4.970193e-03
1.498446013962141e-08	-1.405980e-02
1.517977263962141e-08	-2.302711e-02
1.537508513962141e-08	-3.172914e-02
1.557039763962142e-08	-4.002590e-02
1.576571013962142e-08	-4.778273e-02
1.596102263962142e-08	-5.487247e-02
1.615633513962142e-08	-6.117759e-02
1.635164763962142e-08	-6.659213e-02
1.654696013962142e-08	-7.102355e-02
1.674227263962142e-08	-7.439418e-02
1.693758513962143e-08	-7.664269e-02
1.713289763962143e-08	-7.772508e-02
1.732821013962143e-08	-7.766240e-02
1.749298931191326e-08	-7.668909e-02
1.764739424290600e-08	-7.492066e-02
1.784270674290600e-08	-7.162354e-02
1.803801924290600e-08	-6.726079e-02
1.823333174290600e-08	-6.183074e-02
1.842864424290601e-08	-5.541096e-02
1.862395674290601e-08	-4.809500e-02
1.881926924290601e-08	-3.999104e-02
1.901458174290601e-08	-3.122024e-02
1.920989424290601e-08	-2.191487e-02
1.940520674290601e-08	-1.221628e-02
1.960051924290601e-08	-2.272688e-03
1.979583174290602e-08	7.763080e-03
1.999114424290602e-08	1.773603e-02
2.018645674290602e-08	2.749139e-02
2.038176924290602e-08	3.687707e-02
2.057708174290602e-08	4.574604e-02
2.077239424290602e-08	5.395869e-02
2.096770674290602e-08	6.138499e-02
2.116301924290603e-08	6.790661e-02
2.135833174290603e-08	7.341880e-02
2.155364424290603e-08	7.783205e-02
2.174895674290603e-08	8.107360e-02
2.194426924290603e-08	8.308853e-02
2.213958174290603e-08	8.384080e-02
2.233489424290603e-08	8.335664e-02
2.250387255978451e-08	8.192896e-02
2.265630575845749e-08	7.974482e-02
2.285161825845749e-08	7.583117e-02
2.304693075845749e-08	7.081252e-02
2.324224325845749e-08	6.469333e-02
2.343755575845749e-08	5.756376e-02
2.363286825845749e-08	4.952985e-02
2.382818075845750e-08	4.071192e-02
2.402349325845750e-08	3.124271e-02
2.421880575845750e-08	2.126541e-02
